"Cestni blagovni prevoz, Slovenija, letno"

"LETO";"NOTRANJI / MEDNARODNI PREVOZ";"Tone (1000)";"Kilometri - SKUPAJ (mio.)";"Število voženj - SKUPAJ (1000)"
"2010";"Mednarodni prevoz - blago naloženo v Sloveniji";7309;310.8;592
"2010";"Mednarodni prevoz - blago razloženo v Sloveniji";6839;286.9;585
"2011";"Mednarodni prevoz - blago naloženo v Sloveniji";7746;304.5;623
"2011";"Mednarodni prevoz - blago razloženo v Sloveniji";7199;286.7;618
"2012";"Mednarodni prevoz - blago naloženo v Sloveniji";7733;311.0;586
"2012";"Mednarodni prevoz - blago razloženo v Sloveniji";6734;275.3;577
"2013";"Mednarodni prevoz - blago naloženo v Sloveniji";7631;299.4;589
"2013";"Mednarodni prevoz - blago razloženo v Sloveniji";6663;260.8;580
"2014";"Mednarodni prevoz - blago naloženo v Sloveniji";8137;300.4;614
"2014";"Mednarodni prevoz - blago razloženo v Sloveniji";6652;264.9;605
"2015";"Mednarodni prevoz - blago naloženo v Sloveniji";9360;322.3;696
"2015";"Mednarodni prevoz - blago razloženo v Sloveniji";7308;284.9;682
"2016";"Mednarodni prevoz - blago naloženo v Sloveniji";10070;313.9;686
"2016";"Mednarodni prevoz - blago razloženo v Sloveniji";6958;279.1;673
"2017";"Mednarodni prevoz - blago naloženo v Sloveniji";10980;345.6;753
"2017";"Mednarodni prevoz - blago razloženo v Sloveniji";8003;296.6;726
"2018";"Mednarodni prevoz - blago naloženo v Sloveniji";12471;369.6;833
"2018";"Mednarodni prevoz - blago razloženo v Sloveniji";8041;327.2;817
