"Pristaniški blagovni promet po vrstah tovora, Slovenija, letno"

"RAZLOŽENI IN NALOŽENI TOVOR";"LETO";"Tone [1000]"
"Razloženi tovor, uvoz";"2010";8735
"Razloženi tovor, uvoz";"2011";10134
"Razloženi tovor, uvoz";"2012";9916
"Razloženi tovor, uvoz";"2013";11053
"Razloženi tovor, uvoz";"2014";11909
"Razloženi tovor, uvoz";"2015";12862
"Razloženi tovor, uvoz";"2016";13722
"Razloženi tovor, uvoz";"2017";15524
"Razloženi tovor, uvoz";"2018";16390
"Naloženi tovor, izvoz";"2010";1514
"Naloženi tovor, izvoz";"2011";3178
"Naloženi tovor, izvoz";"2012";3479
"Naloženi tovor, izvoz";"2013";3750
"Naloženi tovor, izvoz";"2014";4865
"Naloženi tovor, izvoz";"2015";5057
"Naloženi tovor, izvoz";"2016";5490
"Naloženi tovor, izvoz";"2017";5987
"Naloženi tovor, izvoz";"2018";6415
